,Full_Name,First_Name,Last_Name,Gender,Date_of_Birth,Hire_Date,Email,Age,Experience_Years,City,Job_Title,Marital_Status,Education_Level,Salary,Country,Salary_Amount,Salary_Currency,Salary_USD
12372,Wahid Tamer,Wahid,Tamer,M,1984-04-04,2005-10-01,wahid.tamer@gmail.com,41,20,Seoul,Architect,M,Bachelor,12222.42 EUR,South Korea,12222,EUR,13077.54
12374, Maha Hussein ,Maha,Hussein,F,1967-01-18,2011-05-31,mhussein@gmail.com,58,14,Sydney,Pharmacist,M,Diploma,8621.0 GBP,Australia,8621,GBP,10776.25
12375,Maha Hesham,Maha,Hesham,F,1978-12-26,1999-03-23,maha.hesham@gmail.com,47,26,Istanbul,Sales Manager,S,PhD,12147.75 JPY,Turkey,12147,JPY,80.17
12376,Ahmed Saad,Ahmed,Saad,M,2007-01-22,2025-11-30,ahmed.saad@gmail.com,18,0,Riyadh,Sales Manager,S,Bachelor,65233.85413333333 USD,Saudi Arabia,65233,USD,65233.0
12377,Menna Nashaat,Menna,Nashaat,F,2005-02-23,2024-06-23,mnashaat@gmail.com,20,1,London,Pharmacist,M,Bachelor,46314.14878787879 AUD,United Kingdom,46314,AUD,30104.1
12378,Noha Abdelrahman,Noha,Abdelrahman,F,1991-11-17,2014-04-08,noha.abdelrahman@gmail.com,34,11,Bangkok,Nurse,S,Bachelor,147648.0 GBP,Thailand,147648,GBP,184560.0
12379,Dina Ayman,Dina,Ayman,F,1965-05-19,2015-05-28,dina.ayman@gmail.com,59,10,London,Mechanical Engineer,S,Bachelor,10731.83 USD,United Kingdom,10731,USD,10731.0
12380,Ruqayya Maged,Ruqayya,Maged,F,1989-11-27,2022-06-22,ruqayya.maged@gmail.com,36,3,Dammam,Data Scientist,M,Diploma,5069.08 GBP,Saudi Arabia,5069,GBP,6336.25
12381,Mohamed Wahid,Mohamed,Wahid,M,1980-02-17,2025-07-23,mohamed.wahid@gmail.com,45,0,Riyadh,Architect,M,Bachelor,59890.666621621625 USD,Saudi Arabia,59890,USD,59890.0
12382,Tamer Sami,Tamer,Sami,M,1965-12-17,2017-11-28,tsami@gmail.com,59,8,Mumbai,Doctor,M,Diploma,80844.0 JPY,India,80844,JPY,533.57
12383,Ali Youssef,Ali,Youssef,M,2006-07-23,2024-07-02,ali.youssef@gmail.com,18,1,Mexico City,Electrical Engineer,S,Masters,54876.938148148154 AUD,Mexico,54876,AUD,35669.4
12384,Khadija Khaled,Khadija,Khaled,F,1976-11-10,2011-12-06,khadija.khaled@gmail.com,49,14,Riyadh,Software Developer,S,Diploma,107374.0 EUR,Saudi Arabia,107374,EUR,114890.18
12385,Ayman Ziad,Ayman,Ziad,M,1997-05-07,2020-10-23,ayman.ziad@gmail.com,28,5,Moscow,Mechanical Engineer,S,Diploma,7275.58 GBP,Russia,7275,GBP,9093.75
12386,Esraa Saad,Esraa,Saad,F,1966-03-18,1992-08-29,esraa.saad@gmail.com,59,33,Cairo,Sales Manager,S,Diploma,129442.0 EUR,Egypt,129442,EUR,138502.94
12387,Amira Ashraf,Amira,Ashraf,F,2003-07-25,2022-05-19,amira.ashraf@gmail.com,22,3,London,Nurse,S,Bachelor,4611.92 GBP,United Kingdom,4611,GBP,5763.75
12388,Radwa Yahya,Radwa,Yahya,F,1968-10-06,2025-07-25,radwa.yahya@gmail.com,56,0,London,Architect,M,PhD,40458.66074074074 AUD,United Kingdom,40458,AUD,26297.7
12389,Ruqayya Hany,Ruqayya,Hany,F,1972-01-19,2011-12-05,rhany@gmail.com,53,14,Buenos Aires,Pharmacist,S,PhD,116598.0 AUD,Argentina,116598,AUD,75788.7
12390,Rania Ziad,Rania,Ziad,F,1985-10-03,2014-11-10,rania.ziad@gmail.com,40,11,New York,Doctor,M,Diploma,139740.0 USD,United States,139740,USD,139740.0
12391,Wafaa Ramy,Wafaa,Ramy,F,1982-08-21,2015-02-01,wafaa.ramy@gmail.com,43,11,Alexandria,Software Developer,S,High School,117879.0 CAD,Egypt,117879,CAD,86051.67
12394,Latif Jamal,Latif,Jamal,M,2005-12-21,2023-12-13,latif.jamal@gmail.com,20,2,Los Angeles,Pharmacist,S,Bachelor,51433.0 CAD,United States,51433,CAD,37546.09
12396,Ramy Amr,Ramy,Amr,M,1978-04-15,2007-03-27,ramy.amr@gmail.com,47,18,Moscow,Dentist,M,Masters,126143.0 AUD,Russia,126143,AUD,81992.95
12397,Rania Khalil,Rania,Khalil,F,1973-08-09,2016-07-23,rania.khalil@gmail.com,52,9,Paris,Sales Manager,M,PhD,7600.58 USD,France,7600,USD,7600.0
12398,Abdelrahman Rafik,Abdelrahman,Rafik,M,1988-09-27,2016-06-27,abdelrahman.rafik@gmail.com,37,9,Seoul,Engineer,M,Bachelor,7370.0 EGP,South Korea,7370,EGP,235.84
12399,Wafaa Ashraf,Wafaa,Ashraf,F,2004-10-02,2025-02-05,wafaa.ashraf@gmail.com,21,0,Mexico City,Data Scientist,M,High School,50406.52533333333 AUD,Mexico,50406,AUD,32763.9
12400,Saad Hesham,Saad,Hesham,M,1978-10-22,2023-11-26,shesham@gmail.com,47,2,Beijing,Pharmacist,M,PhD,58640.0 JPY,China,58640,JPY,387.02
12401,Lina Zaki,Lina,Zaki,F,1980-11-06,1999-10-02,lzaki@gmail.com,45,27,Los Angeles,Business Analyst,S,High School,114600.0 AUD,United States,114600,AUD,74490.0
12402,Asmaa Mostafa,Asmaa,Mostafa,F,1989-05-26,2016-03-11,amostafa@gmail.com,36,9,Rabat,Doctor,M,High School,94038.0 GBP,Morocco,94038,GBP,117547.5
12403,Yahya Khaled,Yahya,Khaled,M,1975-11-04,2026-12-01,yahya.khaled@gmail.com,50,0,Buenos Aires,Electrical Engineer,S,Diploma,56947.8192 AUD,Argentina,56947,AUD,37015.55
12404,Maha Sherif,Maha,Sherif,F,2003-03-04,2025-08-24,maha.sherif@gmail.com,22,0,Istanbul,Dentist,S,High School,38437.0545 USD,Turkey,38437,USD,38437.0
12405,Tarek Bassem,Tarek,Bassem,M,1970-04-15,2017-10-06,tarek.bassem@gmail.com,55,8,Istanbul,Doctor,M,Masters,83880.0 CAD,Turkey,83880,CAD,61232.4
12406,Khadija Saad,Khadija,Saad,F,1982-11-12,2014-07-07,khadija.saad@gmail.com,43,11,Dubai,Business Analyst,M,High School,123332.0 EUR,United Arab Emirates,123332,EUR,131965.24
12407,Medhat Sami,Medhat,Sami,M,1978-07-05,2001-10-29,medhat.sami@gmail.com,47,24,Jeddah,Business Analyst,M,Bachelor,118111.0 EGP,Saudi Arabia,118111,EGP,3779.55
12408,Hossam Hany,Hossam,Hany,M,1966-02-21,2016-12-03,hossam.hany@gmail.com,59,9,Istanbul,Graphic Designer,S,High School,70161.0 AUD,Turkey,70161,AUD,45604.65
12412,Lina Omar,Lina,Omar,F,1977-05-25,2014-06-05,lina.omar@gmail.com,48,11,Kuwait City,Civil Engineer,M,Bachelor,9723.83 AUD,Kuwait,9723,AUD,6319.95
12413,Mariam Hossam,Mariam,Hossam,F,1989-09-18,2008-09-04,mariam.hossam@gmail.com,36,17,Muscat,Electrical Engineer,S,Bachelor,104542.0 AUD,Oman,104542,AUD,67952.3
12414,Saad Ali,Saad,Ali,M,1987-01-03,2010-08-25,saad.ali@gmail.com,38,15,Sharjah,Engineer,M,Bachelor,11958.0 AUD,United Arab Emirates,11958,AUD,7772.7
12415,Dina Mahmoud,Dina,Mahmoud,F,1965-05-17,2011-05-24,dina.mahmoud@gmail.com,59,14,Alexandria,Graphic Designer,M,PhD,122084.0 JPY,Egypt,122084,JPY,805.75
12416,Amira Ali,Amira,Ali,F,1982-09-02,2017-11-19,amira.ali@gmail.com,43,8,Kuwait City,Lawyer,M,High School,98348.0 EGP,Kuwait,98348,EGP,3147.14
12417,Sahar Hassan,Sahar,Hassan,F,2002-03-24,2024-03-11,sahar.hassan@gmail.com,23,1,Sydney,Teacher,M,Masters,54803.06173913043 CAD,Australia,54803,CAD,40006.19
12418,Ahmed Ihab,Ahmed,Ihab,M,1996-03-16,2014-07-25,aihab@gmail.com,29,11,Kuwait City,Dentist,M,Bachelor,12279.42 CAD,Kuwait,12279,CAD,8963.67
12420,Ashraf Tawfik,Ashraf,Tawfik,M,1981-08-13,2004-12-12,ashraf.tawfik@gmail.com,44,21,Muscat,Software Developer,M,High School,12183.08 AUD,Oman,12183,AUD,7918.95
12421,Asmaa Amr,Asmaa,Amr,F,1978-02-20,2018-02-15,asmaa.amr@gmail.com,47,8,London,Lawyer,S,Bachelor,6897.5 EUR,United Kingdom,6897,EUR,7379.79
12422,Khalil Hany,Khalil,Hany,M,2006-05-12,2025-11-26,khany@gmail.com,18,0,Dammam,Data Scientist,M,Master,51598.964772727275 USD,Saudi Arabia,51598,USD,51598.0
12423,Yahya Abdelrahman,Yahya,Abdelrahman,M,1994-11-08,2025-11-23,yahya.abdelrahman@gmail.com,31,0,Beijing,Dentist,S,Master,57462.83038461539 EUR,China,57462,EUR,61484.34
12424,Lina Waleed,Lina,Waleed,F,1998-11-12,2017-08-08,lina.waleed@gmail.com,27,8,São Paulo,Software Developer,S,Bachelor,73884.0 EGP,Brazil,73884,EGP,2364.29
12425,Ahmed Tawfik,Ahmed,Tawfik,M,1983-01-12,2007-09-24,ahmed.tawfik@gmail.com,42,18,Dubai,Teacher,S,PhD,146681.0 CAD,United Arab Emirates,146681,CAD,107077.13
12427,Asmaa Nader,Asmaa,Nader,F,1986-12-21,2007-02-18,asmaa.nader@gmail.com,39,19,Mexico City,Business Analyst,M,PhD,135919.0 JPY,Mexico,135919,JPY,897.07
12428,Sana Hassan,Sana,Hassan,F,1983-11-06,2019-04-19,sana.hassan@gmail.com,42,6,Alexandria,Mechanical Engineer,S,Masters,5937.42 JPY,Egypt,5937,JPY,39.18
12429,Aisha Amr,Aisha,Amr,F,1985-08-10,2005-08-30,aamr@gmail.com,40,20,Cape Town,Accountant,M,Diploma,126151.0 USD,South Africa,126151,USD,126151.0
12430,Fatima Tarek,Fatima,Tarek,F,1975-10-23,2014-10-14,fatima.tarek@gmail.com,50,11,Mansoura,Electrical Engineer,M,Bachelor,113358.0 USD,Egypt,113358,USD,113358.0
12431,Dina Yahya,Dina,Yahya,F,1979-09-19,2018-12-01,dyahya@gmail.com,46,7,Sydney,Financial Analyst,S,Bachelor,70142.0 AUD,Australia,70142,AUD,45592.3
12432,Maged Mounir,Maged,Mounir,M,1971-05-13,2020-11-11,maged.mounir@gmail.com,54,5,Bangkok,Civil Engineer,S,Diploma,6575.0 USD,Thailand,6575,USD,6575.0
12433,Sara Tarek,Sara,Tarek,F,1998-04-13,2025-12-14,sara.tarek@gmail.com,27,0,Berlin,Engineer,M,Master,58308.8570967742 JPY,Germany,58308,JPY,384.83
12434,Dina Mohamed,Dina,Mohamed,F,1968-11-05,2015-05-10,dina.mohamed@gmail.com,56,10,Berlin,Engineer,S,PhD,12238.58 EUR,Germany,12238,EUR,13094.66
12435,Mahmoud Fouad,Mahmoud,Fouad,M,1985-01-13,2003-09-10,mahmoud.fouad@gmail.com,40,22,Alexandria,Business Analyst,S,PhD,11500.83 EGP,Egypt,11500,EGP,368.0
12436,Rania Kareem,Rania,Kareem,F,1974-04-02,2013-02-24,rania.kareem@gmail.com,51,12,Kuwait City,Financial Analyst,M,Master,149660.0 AUD,Kuwait,149660,AUD,97279.0
12437,Kamal Tawfik,Kamal,Tawfik,M,1996-04-10,2022-03-12,ktawfik@gmail.com,29,3,Tokyo,Teacher,M,Bachelor,4792.25 CAD,Japan,4792,CAD,3498.16
12438,Wahid Mounir,Wahid,Mounir,M,1971-04-15,2020-01-24,wahid.mounir@gmail.com,54,6,Istanbul,Lawyer,M,Master,93788.0 EGP,Turkey,93788,EGP,3001.22
12439,Latif Yahya,Latif,Yahya,M,1997-04-19,2022-11-27,lyahya@gmail.com,28,3,Buenos Aires,Doctor,M,Bachelor,4258.5 JPY,Argentina,4258,JPY,28.1
12440,Aisha Khaled,Aisha,Khaled,F,1973-01-22,2007-04-24,akhaled@gmail.com,52,18,Jeddah,Graphic Designer,S,PhD,116855.0 JPY,Saudi Arabia,116855,JPY,771.24
12441,Fatima Ashraf,Fatima,Ashraf,F,2005-09-24,2023-09-10,fatima.ashraf@gmail.com,20,2,Beirut,Engineer,S,Bachelor,4961.25 AUD,Lebanon,4961,AUD,3224.65
12442,Ghada Hossam,Ghada,Hossam,F,1966-12-10,1984-05-18,ghada.hossam@gmail.com,58,41,Buenos Aires,Engineer,S,High School,9142.83 USD,Argentina,9142,USD,9142.0
12443,Layla Mostafa,Layla,Mostafa,F,1996-03-22,2024-05-10,lmostafa@gmail.com,29,1,Tokyo,Architect,S,Diploma,43525.52314285714 EUR,Japan,43525,EUR,46571.75
12444,Wafaa Sami,Wafaa,Sami,F,1976-01-20,2017-07-19,wsami@gmail.com,49,8,São Paulo,Mechanical Engineer,M,Diploma,82417.0 JPY,Brazil,82417,JPY,543.95
12445,Yasmeen Hamza,Yasmeen,Hamza,F,1997-06-10,2023-02-22,yasmeen.hamza@gmail.com,28,2,Alexandria,Accountant,M,Bachelor,63100.0 CAD,Egypt,63100,CAD,46063.0
12446,Mohamed Tamer,Mohamed,Tamer,M,1994-02-12,2025-10-12,mohamed.tamer@gmail.com,31,0,New York,Doctor,M,High School,62747.072045454544 CAD,United States,62747,CAD,45805.31
12447,Esraa Eslam,Esraa,Eslam,F,1973-04-01,2000-09-07,esraa.eslam@gmail.com,52,25,São Paulo,Teacher,M,Bachelor,10017.83 GBP,Brazil,10017,GBP,12521.25
12448, Wael Amr ,Wael,Amr,M,2002-02-25,2022-08-05,wael.amr@gmail.com,23,3,New York,Financial Analyst,S,Master,4205.08 CAD,United States,4205,CAD,3069.65
12450,Nashaat Fady,Nashaat,Fady,M,1975-10-18,2001-07-20,nashaat.fady@gmail.com,50,24,Los Angeles,Accountant,M,Bachelor,11699.5 GBP,United States,11699,GBP,14623.75
12451,Lobna Saad,Lobna,Saad,F,1985-04-03,2006-10-02,lobna.saad@gmail.com,40,19,Moscow,Civil Engineer,M,Bachelor,132744.0 AUD,Russia,132744,AUD,86283.6
12452,Khalil Mahmoud,Khalil,Mahmoud,M,1989-11-11,2010-07-04,khalil.mahmoud@gmail.com,36,15,New York,Pharmacist,S,Master,11789.75 USD,United States,11789,USD,11789.0
12453,Tawfik Kamal,Tawfik,Kamal,M,2003-10-25,2021-09-19,tawfik.kamal@gmail.com,22,4,Toronto,Graphic Designer,M,Master,64539.0 CAD,Canada,64539,CAD,47113.47
12454,Adel Abdullah,Adel,Abdullah,M,1982-08-16,2008-12-03,adel.abdullah@gmail.com,43,17,Mexico City,Data Scientist,S,Master,107394.0 EUR,Mexico,107394,EUR,114911.58
12455,Nada Eslam,Nada,Eslam,F,1981-08-20,2005-04-26,nada.eslam@gmail.com,44,20,Sharjah,Nurse,S,PhD,115379.0 AUD,United Arab Emirates,115379,AUD,74996.35
12456,Ghada Abdullah,Ghada,Abdullah,F,1971-03-26,2015-11-01,gabdullah@gmail.com,54,10,New York,Engineer,S,Bachelor,10872.08 JPY,United States,10872,JPY,71.76
12457,Hanan Abdelrahman,Hanan,Abdelrahman,F,1986-01-10,2026-01-10,hanan.abdelrahman@gmail.com,39,0,Mansoura,Teacher,M,Masters,54922.64081081081 GBP,Egypt,54922,GBP,68652.5
12458,Rana Sherif,Rana,Sherif,F,1985-01-12,2008-05-22,rana.sherif@gmail.com,40,17,Cairo,Graphic Designer,S,High School,11999.0 JPY,Egypt,11999,JPY,79.19
12459,Mounir Galal,Mounir,Galal,M,2002-11-21,2022-07-07,mgalal@gmail.com,23,3,Mansoura,Doctor,M,Masters,4193.75 EGP,Egypt,4193,EGP,134.18
12460,Mahmoud Hatem,Mahmoud,Hatem,M,1987-12-08,2023-12-15,mahmoud.hatem@gmail.com,38,2,Mansoura,Engineer,M,Master,5458.08 AUD,Egypt,5458,AUD,3547.7
12461,Khaled Ibrahim,Khaled,Ibrahim,M,1987-02-10,2020-08-25,khaled.ibrahim@gmail.com,38,5,Buenos Aires,Electrical Engineer,S,Master,95802.0 GBP,Argentina,95802,GBP,119752.5
12462,Lina Abdullah,Lina,Abdullah,F,1995-06-22,2015-04-28,lina.abdullah@gmail.com,30,10,Amman,Doctor,M,PhD,9379.08 CAD,Jordan,9379,CAD,6846.67
12463,Ibrahim Hassan%,Ibrahim,Hassan,M,2003-12-11,2024-02-11,ibrahim.hassan@gmail.com,22,2,Alexandria,Mechanical Engineer,S,Bachelor,5486.5 CAD,Egypt,5486,CAD,4004.78
12464,Wahid Eslam,Wahid,Eslam,M,1994-02-05,2014-02-26,wahid.eslam@gmail.com,31,11,Paris,Mechanical Engineer,M,Diploma,121048.0 USD,France,121048,USD,121048.0
12465,Ramy Saad,Ramy,Saad,M,1969-04-22,2012-06-25,ramy.saad@gmail.com,56,13,Riyadh,Architect,S,Master,8719.08 EUR,Saudi Arabia,8719,EUR,9329.33
12467,Rania Hatem,Rania,Hatem,F,1965-07-20,2002-09-01,rania.hatem@gmail.com,59,23,Abu Dhabi,Mechanical Engineer,M,PhD,127248.0 CAD,United Arab Emirates,127248,CAD,92891.04
12468,Rania Zaki#,Rania,Zaki,F,1976-09-24,1997-06-12,rzaki@gmail.com,49,28,Bangkok,Dentist,M,Master,9559.0 JPY,Thailand,9559,JPY,63.09
12469,Hassan Eslam,Hassan,Eslam,M,1979-11-20,1998-10-11,hassan.eslam@gmail.com,46,27,Cape Town,Business Analyst,S,Bachelor,148974.0 USD,South Africa,148974,USD,148974.0
12470,Hussein Sherif*,Hussein,Sherif,M,1976-06-06,1996-06-29,hussein.sherif@gmail.com,49,29,Moscow,Graphic Designer,M,Master,10809.33 JPY,Russia,10809,JPY,71.34
12471,Hanan Hesham,Hanan,Hesham,F,1992-03-10,2015-05-01,hanan.hesham@gmail.com,33,10,Beirut,Mechanical Engineer,M,High School,139237.0 AUD,Lebanon,139237,AUD,90504.05
12472,Youssef Omar,Youssef,Omar,M,1969-11-10,2011-11-01,youssef.omar@gmail.com,55,15,Beijing,Data Scientist,S,Bachelor,11936.42 AUD,China,11936,AUD,7758.4
12473,Radwa Galal,Radwa,Galal,F,1974-04-08,2020-09-07,rgalal@gmail.com,51,5,Sharjah,Software Developer,M,High School,93372.0 GBP,United Arab Emirates,93372,GBP,116715.0
12474,Kamal Nabil,Kamal,Nabil,M,1966-01-21,2025-08-18,kamal.nabil@gmail.com,59,0,Buenos Aires,Business Analyst,S,Bachelor,41621.840000000004 AUD,Argentina,41621,AUD,27053.65
12475,Sahar Hatem,Sahar,Hatem,F,1986-10-03,2016-09-13,shatem@gmail.com,39,9,Doha,Graphic Designer,S,Diploma,7266.17 EGP,Qatar,7266,EGP,232.51
12476,Ramy Ramy,Ramy,Ramy,M,1992-02-25,2024-01-18,ramy.ramy@gmail.com,33,2,Toronto,Accountant,S,Masters,4741.25 AUD,Canada,4741,AUD,3081.65
12477,Nour Mounir,Nour,Mounir,F,1980-11-24,2013-04-01,nmounir@gmail.com,45,13,Mansoura,Financial Analyst,M,Bachelor,105954.0 EGP,Egypt,105954,EGP,3390.53
12478,Ramy Khaled,Ramy,Khaled,M,1995-11-27,2014-07-27,ramy.khaled@gmail.com,30,11,Berlin,Civil Engineer,S,Master,105373.0 CAD,Germany,105373,CAD,76922.29
12479,Radwa Hesham,Radwa,Hesham,F,1972-10-05,2008-02-21,radwa.hesham@gmail.com,53,17,Cape Town,Data Scientist,S,Bachelor,9250.0 AUD,South Africa,9250,AUD,6012.5
12480,Yahya Omar,Yahya,Omar,M,1974-07-24,1998-03-26,yahya.omar@gmail.com,51,27,Cape Town,Civil Engineer,M,High School,11292.67 CAD,South Africa,11292,CAD,8243.16
12481,Radwa Khaled,Radwa,Khaled,F,1970-08-04,1993-04-27,radwa.khaled@gmail.com,55,32,Doha,Graphic Designer,S,Diploma,12289.67 GBP,Qatar,12289,GBP,15361.25
12482,Wafaa Latif,Wafaa,Latif,F,1973-02-07,2015-08-13,wlatif@gmail.com,52,10,Berlin,Mechanical Engineer,M,High School,9116.67 EGP,Germany,9116,EGP,291.71
12483,Khadija Galal,Khadija,Galal,F,1996-05-09,2015-09-10,khadija.galal@gmail.com,29,10,Moscow,Software Developer,M,PhD,135741.0 AUD,Russia,135741,AUD,88231.65
12484,Nada Sherif,Nada,Sherif,F,1976-02-23,2002-09-15,nsherif@gmail.com,49,23,Seoul,Teacher,M,Masters,137858.0 USD,South Korea,137858,USD,137858.0
12485,Yasmeen Kareem,Yasmeen,Kareem,F,1982-09-20,2021-06-28,yasmeen.kareem@gmail.com,43,4,Buenos Aires,Doctor,S,Diploma,5169.75 EUR,Argentina,5169,EUR,5530.83
12486,Medhat Ibrahim,Medhat,Ibrahim,M,1980-01-25,2008-02-20,medhat.ibrahim@gmail.com,45,17,Cairo,Mechanical Engineer,S,Bachelor,137918.0 EUR,Egypt,137918,EUR,147572.26
12487,Wafaa Hussein,Wafaa,Hussein,F,2001-12-10,2024-04-14,wafaa.hussein@gmail.com,24,1,Mexico City,Accountant,S,Bachelor,46298.892499999994 AUD,Mexico,46298,AUD,30093.7
12489,Mariam Mahmoud,Mariam,Mahmoud,F,1986-10-27,2011-03-20,mariam.mahmoud@gmail.com,39,14,Sydney,Sales Manager,S,Diploma,136220.0 AUD,Australia,136220,AUD,88543.0
12490, Ashraf Nabil ,Ashraf,Nabil,M,1973-09-05,2006-01-24,ashraf.nabil@gmail.com,52,20,Mexico City,Mechanical Engineer,S,PhD,12285.17 JPY,Mexico,12285,JPY,81.08
12491,Fady Ibrahim,Fady,Ibrahim,M,1982-10-08,2001-02-02,fibrahim@gmail.com,43,25,Toronto,Electrical Engineer,S,PhD,115569.0 USD,Canada,115569,USD,115569.0
12492,Esraa Khaled,Esraa,Khaled,F,1965-11-24,2015-05-27,esraa.khaled@gmail.com,59,10,Mexico City,Software Developer,M,Master,10257.5 AUD,Mexico,10257,AUD,6667.05
12493,Lina Ashraf,Lina,Ashraf,F,2000-08-24,2024-08-03,lina.ashraf@gmail.com,25,1,Paris,Accountant,S,Masters,57970.72727272727 EUR,France,57970,EUR,62027.9
12494, Khadija Ahmed ,Khadija,Ahmed,F,2005-04-17,2025-08-16,khadija.ahmed@gmail.com,20,0,Riyadh,Mechanical Engineer,M,Bachelor,58917.33217391304 USD,Saudi Arabia,58917,USD,58917.0
12495,Khadija Ibrahim,Khadija,Ibrahim,F,1972-11-04,2014-03-13,khadija.ibrahim@gmail.com,53,11,Jeddah,Business Analyst,S,High School,130357.0 USD,Saudi Arabia,130357,USD,130357.0
12497,Layla Tamer,Layla,Tamer,F,1999-02-11,2020-08-14,layla.tamer@gmail.com,26,5,Mexico City,Nurse,M,High School,86783.0 USD,Mexico,86783,USD,86783.0
12498,Hany Jamal,Hany,Jamal,M,1976-01-03,1996-02-01,hjamal@gmail.com,49,30,Cape Town,Doctor,S,Bachelor,122455.0 EUR,South Africa,122455,EUR,131026.85
12499,Youssef Amr,Youssef,Amr,M,1991-07-09,2012-03-28,youssef.amr@gmail.com,34,13,Sydney,Civil Engineer,M,Bachelor,9328.67 CAD,Australia,9328,CAD,6809.44
12500,Reem Ashraf,Reem,Ashraf,F,1977-04-26,2009-01-30,rashraf@gmail.com,48,17,New York,Software Developer,M,Diploma,9341.33 EUR,United States,9341,EUR,9994.87
12501, Salma Galal ,Salma,Galal,F,2003-04-12,2025-04-27,sgalal@gmail.com,22,0,Sharjah,Graphic Designer,S,PhD,54444.83575757576 CAD,United Arab Emirates,54444,CAD,39744.12
12502, Wahid Galal ,Wahid,Galal,M,1967-04-26,1986-03-04,wgalal@gmail.com,58,39,Buenos Aires,Financial Analyst,M,High School,8446.83 EUR,Argentina,8446,EUR,9037.22
12504,Yasmeen Tawfik,Yasmeen,Tawfik,F,1994-01-24,2024-11-10,yasmeen.tawfik@gmail.com,31,1,Amman,Lawyer,M,PhD,50552.420454545456 USD,Jordan,50552,USD,50552.0
12505,Sana Ali,Sana,Ali,F,1975-05-22,2002-06-04,sana.ali@gmail.com,50,23,Mumbai,Engineer,S,Masters,11012.5 JPY,India,11012,JPY,72.68
12506,Wael Mahmoud,Wael,Mahmoud,M,1979-06-05,2010-02-16,wael.mahmoud@gmail.com,46,16,Rabat,Doctor,M,Bachelor,9678.83 GBP,Morocco,9678,GBP,12097.5
12507,Esraa Nabil,Esraa,Nabil,F,1997-06-28,2021-06-29,enabil@gmail.com,28,4,Mumbai,Financial Analyst,S,Diploma,62341.0 USD,India,62341,USD,62341.0
12508,Nabil Wael,Nabil,Wael,M,1993-06-21,2013-02-04,nabil.wael@gmail.com,32,13,Istanbul,Software Developer,S,Bachelor,9337.33 JPY,Turkey,9337,JPY,61.62
12510,Sara Mohamed,Sara,Mohamed,F,1990-07-20,2012-07-14,smohamed@gmail.com,35,13,Tokyo,Architect,S,Masters,9821.17 EGP,Japan,9821,EGP,314.27
12511,Noha Hany,Noha,Hany,F,1995-04-10,2018-06-10,noha.hany@gmail.com,30,7,Bangkok,Graphic Designer,S,Master,97712.0 CAD,Thailand,97712,CAD,71329.76
12512,Esraa Mahmoud,Esraa,Mahmoud,F,2001-03-17,2020-10-28,emahmoud@gmail.com,24,5,Cairo,Graphic Designer,S,Bachelor,94895.0 AUD,Egypt,94895,AUD,61681.75
12513,Ibrahim Medhat,Ibrahim,Medhat,M,1987-03-06,2024-06-27,ibrahim.medhat@gmail.com,38,1,Jeddah,Electrical Engineer,S,Master,54469.025125 USD,Saudi Arabia,54469,USD,54469.0
12514,Hanan Jamal,Hanan,Jamal,F,1979-06-15,2004-06-05,hanan.jamal@gmail.com,46,21,Mexico City,Financial Analyst,M,Bachelor,11261.58 USD,Mexico,11261,USD,11261.0
12515,Tawfik Mohamed,Tawfik,Mohamed,M,2005-01-22,2023-05-16,tawfik.mohamed@gmail.com,20,2,São Paulo,Engineer,S,Master,54271.0 EUR,Brazil,54271,EUR,58069.97
12516,Ruqayya Waleed,Ruqayya,Waleed,F,1977-06-12,2019-03-06,ruqayya.waleed@gmail.com,48,6,Paris,Pharmacist,M,High School,93441.0 EUR,France,93441,EUR,99981.87
12517,Aisha Ayman,Aisha,Ayman,F,2004-10-02,2023-03-14,aayman@gmail.com,21,2,Beirut,Accountant,M,Bachelor,53250.0 AUD,Lebanon,53250,AUD,34612.5
12518,Wahid Nader,Wahid,Nader,M,2005-03-23,2024-11-02,wahid.nader@gmail.com,20,1,London,Mechanical Engineer,M,Diploma,53091.807241379305 AUD,United Kingdom,53091,AUD,34509.15
12519,Asmaa Hesham,Asmaa,Hesham,F,1995-10-24,2016-08-31,asmaa.hesham@gmail.com,30,9,Mumbai,Teacher,S,Bachelor,7767.75 USD,India,7767,USD,7767.0
12520,Sara Ashraf,Sara,Ashraf,F,2007-07-04,2025-10-09,sara.ashraf@gmail.com,17,0,Doha,Mechanical Engineer,S,High School,58189.199642857144 USD,Qatar,58189,USD,58189.0
12522,Aisha Tawfik,Aisha,Tawfik,F,1980-05-19,2015-11-06,aisha.tawfik@gmail.com,45,10,Sydney,Sales Manager,S,Master,11646.08 EGP,Australia,11646,EGP,372.67
12523,Nour Zaki,Nour,Zaki,F,1972-08-14,2016-08-30,nour.zaki@gmail.com,53,9,Riyadh,Civil Engineer,M,Masters,6184.17 EUR,Saudi Arabia,6184,EUR,6616.88
12524,Omar Fouad,Omar,Fouad,M,1988-03-13,2017-10-23,omar.fouad@gmail.com,37,8,Paris,Accountant,S,Masters,79371.0 EGP,France,79371,EGP,2539.87
12525,Layla Hussein,Layla,Hussein,F,1986-01-16,2016-06-07,layla.hussein@gmail.com,39,9,Jeddah,Nurse,S,High School,7717.58 EUR,Saudi Arabia,7717,EUR,8257.19
